Nameserver	IP
brit.ns.cloudflare.com	108.162.192.78
brit.ns.cloudflare.com	173.245.58.78
brit.ns.cloudflare.com	172.64.32.78
brodie.ns.cloudflare.com	108.162.195.237
brodie.ns.cloudflare.com	162.159.44.237
brodie.ns.cloudflare.com	172.64.35.237
bruce.ns.cloudflare.com	108.162.193.77
bruce.ns.cloudflare.com	172.64.33.77
bruce.ns.cloudflare.com	173.245.59.77
bryce.ns.cloudflare.com	108.162.195.137
bryce.ns.cloudflare.com	162.159.44.137
bryce.ns.cloudflare.com	172.64.35.137
brynne.ns.cloudflare.com	108.162.194.65
brynne.ns.cloudflare.com	162.159.38.65
brynne.ns.cloudflare.com	172.64.34.65
buck.ns.cloudflare.com	108.162.193.78
buck.ns.cloudflare.com	172.64.33.78
buck.ns.cloudflare.com	173.245.59.78
burt.ns.cloudflare.com	108.162.193.79
burt.ns.cloudflare.com	172.64.33.79
burt.ns.cloudflare.com	173.245.59.79
byron.ns.cloudflare.com	108.162.195.67
byron.ns.cloudflare.com	162.159.44.67
byron.ns.cloudflare.com	172.64.35.67
cameron.ns.cloudflare.com	108.162.195.107
cameron.ns.cloudflare.com	162.159.44.107
cameron.ns.cloudflare.com	172.64.35.107
camilo.ns.cloudflare.com	108.162.195.118
camilo.ns.cloudflare.com	162.159.44.118
camilo.ns.cloudflare.com	172.64.35.118
candy.ns.cloudflare.com	108.162.192.79
candy.ns.cloudflare.com	172.64.32.79
candy.ns.cloudflare.com	173.245.58.79
carioca.ns.cloudflare.com	108.162.194.20
carioca.ns.cloudflare.com	162.159.38.20
carioca.ns.cloudflare.com	172.64.34.20
carl.ns.cloudflare.com	108.162.193.106
carl.ns.cloudflare.com	172.64.33.106
carl.ns.cloudflare.com	173.245.59.106
carla.ns.cloudflare.com	108.162.194.86
carla.ns.cloudflare.com	162.159.38.86
carla.ns.cloudflare.com	172.64.34.86
carlane.ns.cloudflare.com	108.162.194.25
carlane.ns.cloudflare.com	162.159.38.25
carlane.ns.cloudflare.com	172.64.34.25
carlos.ns.cloudflare.com	108.162.195.112
carlos.ns.cloudflare.com	162.159.44.112
carlos.ns.cloudflare.com	172.64.35.112
carmelo.ns.cloudflare.com	108.162.195.129
carmelo.ns.cloudflare.com	162.159.44.129
carmelo.ns.cloudflare.com	172.64.35.129
carol.ns.cloudflare.com	108.162.192.80
carol.ns.cloudflare.com	172.64.32.80
carol.ns.cloudflare.com	173.245.58.80
carrera.ns.cloudflare.com	108.162.194.231
carrera.ns.cloudflare.com	162.159.38.231
carrera.ns.cloudflare.com	172.64.34.231
carter.ns.cloudflare.com	108.162.193.80
carter.ns.cloudflare.com	172.64.33.80
carter.ns.cloudflare.com	173.245.59.80
cartman.ns.cloudflare.com	108.162.195.219
cartman.ns.cloudflare.com	162.159.44.219
cartman.ns.cloudflare.com	172.64.35.219
casey.ns.cloudflare.com	108.162.195.158
casey.ns.cloudflare.com	162.159.44.158
casey.ns.cloudflare.com	172.64.35.158
cash.ns.cloudflare.com	108.162.193.81
cash.ns.cloudflare.com	172.64.33.81
cash.ns.cloudflare.com	173.245.59.81
cass.ns.cloudflare.com	172.64.32.81
cass.ns.cloudflare.com	108.162.192.81
cass.ns.cloudflare.com	173.245.58.81
cecelia.ns.cloudflare.com	108.162.194.135
cecelia.ns.cloudflare.com	162.159.38.135
cecelia.ns.cloudflare.com	172.64.34.135
celeste.ns.cloudflare.com	108.162.194.7
celeste.ns.cloudflare.com	162.159.38.7
celeste.ns.cloudflare.com	172.64.34.7
celine.ns.cloudflare.com	108.162.194.98
celine.ns.cloudflare.com	162.159.38.98
celine.ns.cloudflare.com	172.64.34.98
cesar.ns.cloudflare.com	108.162.195.119
cesar.ns.cloudflare.com	162.159.44.119
cesar.ns.cloudflare.com	172.64.35.119
chad.ns.cloudflare.com	108.162.193.82
chad.ns.cloudflare.com	173.245.59.82
chad.ns.cloudflare.com	172.64.33.82
chan.ns.cloudflare.com	108.162.192.82
chan.ns.cloudflare.com	172.64.32.82
chan.ns.cloudflare.com	173.245.58.82
chance.ns.cloudflare.com	108.162.195.33
chance.ns.cloudflare.com	162.159.44.33
chance.ns.cloudflare.com	172.64.35.33
charles.ns.cloudflare.com	108.162.193.83
charles.ns.cloudflare.com	172.64.33.83
charles.ns.cloudflare.com	173.245.59.83
chase.ns.cloudflare.com	108.162.195.156
chase.ns.cloudflare.com	162.159.44.156
chase.ns.cloudflare.com	172.64.35.156
chelsea.ns.cloudflare.com	108.162.194.177
chelsea.ns.cloudflare.com	162.159.38.177
chelsea.ns.cloudflare.com	172.64.34.177
cheryl.ns.cloudflare.com	108.162.192.83
cheryl.ns.cloudflare.com	172.64.32.83
cheryl.ns.cloudflare.com	173.245.58.83
chin.ns.cloudflare.com	108.162.192.84
chin.ns.cloudflare.com	172.64.32.84
chin.ns.cloudflare.com	173.245.58.84
chip.ns.cloudflare.com	173.245.59.84
chip.ns.cloudflare.com	172.64.33.84
chip.ns.cloudflare.com	108.162.193.84
chloe.ns.cloudflare.com	108.162.192.85
chloe.ns.cloudflare.com	172.64.32.85
chloe.ns.cloudflare.com	173.245.58.85
chris.ns.cloudflare.com	108.162.193.85
chris.ns.cloudflare.com	172.64.33.85
chris.ns.cloudflare.com	173.245.59.85
christian.ns.cloudflare.com	108.162.195.247
christian.ns.cloudflare.com	162.159.44.247
christian.ns.cloudflare.com	172.64.35.247
christina.ns.cloudflare.com	108.162.194.193
christina.ns.cloudflare.com	162.159.38.193
christina.ns.cloudflare.com	172.64.34.193
chuck.ns.cloudflare.com	108.162.193.86
chuck.ns.cloudflare.com	172.64.33.86
chuck.ns.cloudflare.com	173.245.59.86
clara.ns.cloudflare.com	108.162.194.219
clara.ns.cloudflare.com	162.159.38.219
clara.ns.cloudflare.com	172.64.34.219
clarissa.ns.cloudflare.com	108.162.194.123
clarissa.ns.cloudflare.com	162.159.38.123
clarissa.ns.cloudflare.com	172.64.34.123
clark.ns.cloudflare.com	108.162.193.87
clark.ns.cloudflare.com	172.64.33.87
clark.ns.cloudflare.com	173.245.59.87
clay.ns.cloudflare.com	108.162.193.88
clay.ns.cloudflare.com	172.64.33.88
clay.ns.cloudflare.com	173.245.59.88
clayton.ns.cloudflare.com	108.162.195.226
clayton.ns.cloudflare.com	162.159.44.226
clayton.ns.cloudflare.com	172.64.35.226
cleo.ns.cloudflare.com	108.162.193.89
cleo.ns.cloudflare.com	172.64.33.89
cleo.ns.cloudflare.com	173.245.59.89
